tablet_id,site,date_est,material,transliteration,sign_groups,sign_sequence_unicode,sign_sequence_ids,sign_group_count,sign_count
HT 1,Hagia Triada,-1500,clay,A-DU GRA 100 DI-KI-SE GRA 10 KU-RO GRA 110,A-DU|GRA|DI-KI-SE|GRA|KU-RO|GRA,𐘀𐘬 𐙕 𐘆𐘸𐘈 𐙕 𐙂𐘁 𐙕,"0,44,85,6,56,8,85,66,1,85",6,10
HT 2,Hagia Triada,-1500,clay,PA-I-TO GRA 24 DA-I GRA 6 KU-RO GRA 30,PA-I-TO|GRA|DA-I|GRA|KU-RO|GRA,𐘂𐘚𐘄 𐙕 𐘦𐘚 𐙕 𐙂𐘁 𐙕,"2,26,4,85,38,26,85,66,1,85",6,10
HT 6,Hagia Triada,-1500,clay,PA3-TE GRA 20 A-RE GRA 5 KU-RO GRA 25,PA3-TE|GRA|A-RE|GRA|KU-RO|GRA,𐘰𐘃 𐙕 𐘀𐘙 𐙕 𐙂𐘁 𐙕,"48,3,85,0,25,85,66,1,85",6,9
HT 8,Hagia Triada,-1500,clay,KU-PA3-NU GRA 40 KI-RO GRA 5 KU-RO GRA 35,KU-PA3-NU|GRA|KI-RO|GRA|KU-RO|GRA,𐙂𐘰𐘟 𐙕 𐘸𐘁 𐙕 𐙂𐘁 𐙕,"66,48,31,85,56,1,85,66,1,85",6,10
HT 10,Hagia Triada,-1500,clay,TE-KI VIN 30 SI-DA-TE VIN 10 KU-RO VIN 40,TE-KI|VIN|SI-DA-TE|VIN|KU-RO|VIN,𐘃𐘸 𐙗 𐘜𐘦𐘃 𐙗 𐙂𐘁 𐙗,"3,56,87,28,38,3,87,66,1,87",6,10
HT 11,Hagia Triada,-1500,clay,A-MI-DA-O GRA 15 KI-RO GRA 3,A-MI-DA-O|GRA|KI-RO|GRA,𐘀𐘒𐘦𐘵 𐙕 𐘸𐘁 𐙕,"0,18,38,53,85,56,1,85",4,8
HT 12,Hagia Triada,-1500,clay,RI-JA-TA GRA 7 SA-MA GRA 8 KU-RO GRA 15,RI-JA-TA|GRA|SA-MA|GRA|KU-RO|GRA,𐘭𐘧𐘳 𐙕 𐘞𐙁 𐙕 𐙂𐘁 𐙕,"45,39,51,85,30,65,85,66,1,85",6,10
HT 13,Hagia Triada,-1500,clay,KU-PA3-NU OVS 40 A-MI-DA-O OVS 20 KU-RO OVS 60,KU-PA3-NU|OVS|A-MI-DA-O|OVS|KU-RO|OVS,𐙂𐘰𐘟 𐙝 𐘀𐘒𐘦𐘵 𐙝 𐙂𐘁 𐙝,"66,48,31,93,0,18,38,53,93,66,1,93",6,12
HT 14,Hagia Triada,-1500,clay,DA-QE-RA GRA 12 A-NU-PA GRA 6 KU-RO GRA 18,DA-QE-RA|GRA|A-NU-PA|GRA|KU-RO|GRA,𐘦𐘿𐘴 𐙕 𐘀𐘟𐘂 𐙕 𐙂𐘁 𐙕,"38,63,52,85,0,31,2,85,66,1,85",6,11
HT 17,Hagia Triada,-1500,clay,U-NA-KA GRA 5 KI-RO GRA 2 KU-RO GRA 3,U-NA-KA|GRA|KI-RO|GRA|KU-RO|GRA,𐘉𐘅𐘾 𐙕 𐘸𐘁 𐙕 𐙂𐘁 𐙕,"9,5,62,85,56,1,85,66,1,85",6,10
