tablet_id,site,date_est,date_uncertainty_yrs,material,source_strategy,qcs,is_synthetic,transliteration,sign_groups,sign_sequence_unicode,sign_sequence_ids,sign_group_count,sign_count
HT 1,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,A-DU GRA 100 DI-KI-SE GRA 10 KU-RO GRA 110,A-DU|GRA|DI-KI-SE|GRA|KU-RO|GRA,𐘀𐘬 𐙕 𐘆𐘸𐘈 𐙕 𐙂𐘁 𐙕,"0,44,85,6,56,8,85,66,1,85",6,10
HT 2,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,PA-I-TO GRA 24 DA-I GRA 6 KU-RO GRA 30,PA-I-TO|GRA|DA-I|GRA|KU-RO|GRA,𐘂𐘚𐘄 𐙕 𐘦𐘚 𐙕 𐙂𐘁 𐙕,"2,26,4,85,38,26,85,66,1,85",6,10
HT 6,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,PA3-TE GRA 20 A-RE GRA 5 KU-RO GRA 25,PA3-TE|GRA|A-RE|GRA|KU-RO|GRA,𐘰𐘃 𐙕 𐘀𐘙 𐙕 𐙂𐘁 𐙕,"48,3,85,0,25,85,66,1,85",6,9
HT 8,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,KU-PA3-NU GRA 40 KI-RO GRA 5 KU-RO GRA 35,KU-PA3-NU|GRA|KI-RO|GRA|KU-RO|GRA,𐙂𐘰𐘟 𐙕 𐘸𐘁 𐙕 𐙂𐘁 𐙕,"66,48,31,85,56,1,85,66,1,85",6,10
HT 10,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,TE-KI VIN 30 SI-DA-TE VIN 10 KU-RO VIN 40,TE-KI|VIN|SI-DA-TE|VIN|KU-RO|VIN,𐘃𐘸 𐙗 𐘜𐘦𐘃 𐙗 𐙂𐘁 𐙗,"3,56,87,28,38,3,87,66,1,87",6,10
HT 11,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,A-MI-DA-O GRA 15 KI-RO GRA 3,A-MI-DA-O|GRA|KI-RO|GRA,𐘀𐘒𐘦𐘵 𐙕 𐘸𐘁 𐙕,"0,18,38,53,85,56,1,85",4,8
HT 12,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,RI-JA-TA GRA 7 SA-MA GRA 8 KU-RO GRA 15,RI-JA-TA|GRA|SA-MA|GRA|KU-RO|GRA,𐘭𐘧𐘳 𐙕 𐘞𐙁 𐙕 𐙂𐘁 𐙕,"45,39,51,85,30,65,85,66,1,85",6,10
HT 13,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,KU-PA3-NU OVS 40 A-MI-DA-O OVS 20 KU-RO OVS 60,KU-PA3-NU|OVS|A-MI-DA-O|OVS|KU-RO|OVS,𐙂𐘰𐘟 𐙝 𐘀𐘒𐘦𐘵 𐙝 𐙂𐘁 𐙝,"66,48,31,93,0,18,38,53,93,66,1,93",6,12
HT 14,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,DA-QE-RA GRA 12 A-NU-PA GRA 6 KU-RO GRA 18,DA-QE-RA|GRA|A-NU-PA|GRA|KU-RO|GRA,𐘦𐘿𐘴 𐙕 𐘀𐘟𐘂 𐙕 𐙂𐘁 𐙕,"38,63,52,85,0,31,2,85,66,1,85",6,11
HT 17,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,U-NA-KA GRA 5 KI-RO GRA 2 KU-RO GRA 3,U-NA-KA|GRA|KI-RO|GRA|KU-RO|GRA,𐘉𐘅𐘾 𐙕 𐘸𐘁 𐙕 𐙂𐘁 𐙕,"9,5,62,85,56,1,85,66,1,85",6,10
HT 28,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,QA-I-RO VIN 20 A-DU VIN 10 KU-RO VIN 30,QA-I-RO|VIN|A-DU|VIN|KU-RO|VIN,𐘌𐘚𐘁 𐙗 𐘀𐘬 𐙗 𐙂𐘁 𐙗,"12,26,1,87,0,44,87,66,1,87",6,10
HT 31,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,I-DA-TE OLE 25 A-RE OLE 5 KU-RO OLE 30,I-DA-TE|OLE|A-RE|OLE|KU-RO|OLE,𐘚𐘦𐘃 𐙚 𐘀𐘙 𐙚 𐙂𐘁 𐙚,"26,38,3,90,0,25,90,66,1,90",6,10
HT 44,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,SU-PU2-WA GRA 30 JA-RE GRA 10 KU-RO GRA 40,SU-PU2-WA|GRA|JA-RE|GRA|KU-RO|GRA,𐘲𐙄𐘮 𐙕 𐘧𐘙 𐙕 𐙂𐘁 𐙕,"50,68,46,85,39,25,85,66,1,85",6,10
HT 85,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,PA-TA-NE BOS 5 WI-NA-DU BOS 3 KU-RO BOS 8,PA-TA-NE|BOS|WI-NA-DU|BOS|KU-RO|BOS,𐘂𐘳𐘗 𐙠 𐘣𐘅𐘬 𐙠 𐙂𐘁 𐙠,"2,51,23,96,35,5,44,96,66,1,96",6,11
HT 100,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,A-DU OVS 10 DA-QE-RA OVS 8 KU-PA3-NU OVS 6 KU-RO OVS 24,A-DU|OVS|DA-QE-RA|OVS|KU-PA3-NU|OVS|KU-RO|OVS,𐘀𐘬 𐙝 𐘦𐘿𐘴 𐙝 𐙂𐘰𐘟 𐙝 𐙂𐘁 𐙝,"0,44,93,38,63,52,93,66,48,31,93,66,1,93",8,14
HT 117,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,A-SA-SA-RA-ME A-TA-RE U-NA-KA QA-QA-RU KU-RO,A-SA-SA-RA-ME|A-TA-RE|U-NA-KA|QA-QA-RU|KU-RO,𐘀𐘞𐘞𐘴𐘋 𐘀𐘳𐘙 𐘉𐘅𐘾 𐘌𐘌𐘘 𐙂𐘁,"0,30,30,52,11,0,51,25,9,5,62,12,12,24,66,1",5,16
HT 122,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,PA-I-TO GRA 8 A-RE-NU-WA GRA 3 KU-RO GRA 11,PA-I-TO|GRA|A-RE-NU-WA|GRA|KU-RO|GRA,𐘂𐘚𐘄 𐙕 𐘀𐘙𐘟𐘮 𐙕 𐙂𐘁 𐙕,"2,26,4,85,0,25,31,46,85,66,1,85",6,12
HT 140,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,KI-RO VIN 6 TE-KI VIN 14 KU-RO VIN 20,KI-RO|VIN|TE-KI|VIN|KU-RO|VIN,𐘸𐘁 𐙗 𐘃𐘸 𐙗 𐙂𐘁 𐙗,"56,1,87,3,56,87,66,1,87",6,9
HT 86,Hagia Triada,-1550,,stone,gorila_transliterations,0.9,False,I-DA-MA-TE A-SA-SA-RA-ME,I-DA-MA-TE|A-SA-SA-RA-ME,𐘚𐘦𐙁𐘃 𐘀𐘞𐘞𐘴𐘋,"26,38,65,3,0,30,30,52,11",2,9
HT 87,Hagia Triada,-1550,,stone,gorila_transliterations,0.9,False,A-TA-I-*301-WA-JA A-RE-NE-SI,A-TA-I-*301-WA-JA|A-RE-NE-SI,𐘀𐘳𐘚𐙕𐘮𐘧 𐘀𐘙𐘗𐘜,"0,51,26,85,46,39,0,25,23,28",2,10
HT 88,Hagia Triada,-1550,,stone,gorila_transliterations,0.9,False,I-PI-NA-MI-NA A-SA-SA-RA-ME,I-PI-NA-MI-NA|A-SA-SA-RA-ME,𐘚𐘢𐘅𐘒𐘅 𐘀𐘞𐘞𐘴𐘋,"26,34,5,18,5,0,30,30,52,11",2,10
HT 89,Hagia Triada,-1550,,stone,gorila_transliterations,0.9,False,SU-PU2-WA A-SA-SA-RA-ME,SU-PU2-WA|A-SA-SA-RA-ME,𐘲𐙄𐘮 𐘀𐘞𐘞𐘴𐘋,"50,68,46,0,30,30,52,11",2,8
HT 90,Hagia Triada,-1550,,stone,gorila_transliterations,0.9,False,A-KA-RU A-SA-SA-RA-ME,A-KA-RU|A-SA-SA-RA-ME,𐘀𐘾𐘘 𐘀𐘞𐘞𐘴𐘋,"0,62,24,0,30,30,52,11",2,8
HT 91,Hagia Triada,-1550,,stone,gorila_transliterations,0.9,False,SI-RU-TE A-SA-SA-RA-ME,SI-RU-TE|A-SA-SA-RA-ME,𐘜𐘘𐘃 𐘀𐘞𐘞𐘴𐘋,"28,24,3,0,30,30,52,11",2,8
HT 92,Hagia Triada,-1550,,stone,gorila_transliterations,0.9,False,U-NA-RU-KA-NA-SI A-SA-SA-RA-ME,U-NA-RU-KA-NA-SI|A-SA-SA-RA-ME,𐘉𐘅𐘘𐘾𐘅𐘜 𐘀𐘞𐘞𐘴𐘋,"9,5,24,62,5,28,0,30,30,52,11",2,11
HT 93,Hagia Triada,-1550,,stone,gorila_transliterations,0.9,False,A-TA-I-*301-WA-JA I-PI-NA-MI-NA,A-TA-I-*301-WA-JA|I-PI-NA-MI-NA,𐘀𐘳𐘚𐙕𐘮𐘧 𐘚𐘢𐘅𐘒𐘅,"0,51,26,85,46,39,26,34,5,18,5",2,11
HT 94,Hagia Triada,-1550,,stone,gorila_transliterations,0.9,False,I-DA-MA-TE SU-PU2-WA,I-DA-MA-TE|SU-PU2-WA,𐘚𐘦𐙁𐘃 𐘲𐙄𐘮,"26,38,65,3,50,68,46",2,7
HT 95,Hagia Triada,-1550,,stone,gorila_transliterations,0.9,False,A-SA-SA-RA-ME A-RE-NE-SI I-DA-MA-TE,A-SA-SA-RA-ME|A-RE-NE-SI|I-DA-MA-TE,𐘀𐘞𐘞𐘴𐘋 𐘀𐘙𐘗𐘜 𐘚𐘦𐙁𐘃,"0,30,30,52,11,0,25,23,28,26,38,65,3",3,13
ZA 1,Zakros,-1475,,clay,gorila_transliterations,0.9,False,A-DU GRA 30 TE-KI GRA 10 KU-RO GRA 40,A-DU|GRA|TE-KI|GRA|KU-RO|GRA,𐘀𐘬 𐙕 𐘃𐘸 𐙕 𐙂𐘁 𐙕,"0,44,85,3,56,85,66,1,85",6,9
ZA 4,Zakros,-1475,,clay,gorila_transliterations,0.9,False,DA-QE-RA VIN 20 KI-RO VIN 4 KU-RO VIN 16,DA-QE-RA|VIN|KI-RO|VIN|KU-RO|VIN,𐘦𐘿𐘴 𐙗 𐘸𐘁 𐙗 𐙂𐘁 𐙗,"38,63,52,87,56,1,87,66,1,87",6,10
ZA 10,Zakros,-1475,,clay,gorila_transliterations,0.9,False,PA-I-TO OLE 15 A-RE OLE 5 KU-RO OLE 20,PA-I-TO|OLE|A-RE|OLE|KU-RO|OLE,𐘂𐘚𐘄 𐙚 𐘀𐘙 𐙚 𐙂𐘁 𐙚,"2,26,4,90,0,25,90,66,1,90",6,10
ZA 15,Zakros,-1475,,stone,gorila_transliterations,0.9,False,I-DA-MA-TE A-SA-SA-RA-ME,I-DA-MA-TE|A-SA-SA-RA-ME,𐘚𐘦𐙁𐘃 𐘀𐘞𐘞𐘴𐘋,"26,38,65,3,0,30,30,52,11",2,9
ZA 28,Zakros,-1475,,stone,gorila_transliterations,0.9,False,A-TA-I-*301-WA-JA I-DA-MA-TE,A-TA-I-*301-WA-JA|I-DA-MA-TE,𐘀𐘳𐘚𐙕𐘮𐘧 𐘚𐘦𐙁𐘃,"0,51,26,85,46,39,26,38,65,3",2,10
KH 1,Khania,-1450,,clay,gorila_transliterations,0.9,False,DA-QE-RA GRA 20 A-DU GRA 5 KU-RO GRA 25,DA-QE-RA|GRA|A-DU|GRA|KU-RO|GRA,𐘦𐘿𐘴 𐙕 𐘀𐘬 𐙕 𐙂𐘁 𐙕,"38,63,52,85,0,44,85,66,1,85",6,10
KH 4,Khania,-1450,,clay,gorila_transliterations,0.9,False,KU-PA3-NU OVS 15 KI-RO OVS 3 KU-RO OVS 12,KU-PA3-NU|OVS|KI-RO|OVS|KU-RO|OVS,𐙂𐘰𐘟 𐙝 𐘸𐘁 𐙝 𐙂𐘁 𐙝,"66,48,31,93,56,1,93,66,1,93",6,10
KH 5,Khania,-1450,,clay,gorila_transliterations,0.9,False,A-DU VIN 8 SI-DA-TE VIN 4 KU-RO VIN 12,A-DU|VIN|SI-DA-TE|VIN|KU-RO|VIN,𐘀𐘬 𐙗 𐘜𐘦𐘃 𐙗 𐙂𐘁 𐙗,"0,44,87,28,38,3,87,66,1,87",6,10
KH 11,Khania,-1450,,clay,gorila_transliterations,0.9,False,TE-KI GRA 30 KI-RO GRA 6 KU-RO GRA 24,TE-KI|GRA|KI-RO|GRA|KU-RO|GRA,𐘃𐘸 𐙕 𐘸𐘁 𐙕 𐙂𐘁 𐙕,"3,56,85,56,1,85,66,1,85",6,9
PH 1,Phaistos,-1700,,clay,gorila_transliterations,0.9,False,GRA 50 VIN 10 OLE 5 KU-RO,GRA|VIN|OLE|KU-RO,𐙕 𐙗 𐙚 𐙂𐘁,"85,87,90,66,1",4,5
PH 7,Phaistos,-1700,,stone,gorila_transliterations,0.9,False,A-TA-I-*301-WA-JA A-RE-NE-SI I-DA-MA-TE,A-TA-I-*301-WA-JA|A-RE-NE-SI|I-DA-MA-TE,𐘀𐘳𐘚𐙕𐘮𐘧 𐘀𐘙𐘗𐘜 𐘚𐘦𐙁𐘃,"0,51,26,85,46,39,0,25,23,28,26,38,65,3",3,14
AR 1,Arkhanes,-1600,,clay,gorila_transliterations,0.9,False,A-DU GRA 5 KI-RO GRA 1 KU-RO GRA 4,A-DU|GRA|KI-RO|GRA|KU-RO|GRA,𐘀𐘬 𐙕 𐘸𐘁 𐙕 𐙂𐘁 𐙕,"0,44,85,56,1,85,66,1,85",6,9
AR 4,Arkhanes,-1600,,stone,gorila_transliterations,0.9,False,A-SA-SA-RA-ME I-DA-MA-TE,A-SA-SA-RA-ME|I-DA-MA-TE,𐘀𐘞𐘞𐘴𐘋 𐘚𐘦𐙁𐘃,"0,30,30,52,11,26,38,65,3",2,9
KN 1,Knossos,-1500,,clay,gorila_transliterations,0.9,False,PA-I-TO GRA 10 A-RE GRA 5 KU-RO GRA 15,PA-I-TO|GRA|A-RE|GRA|KU-RO|GRA,𐘂𐘚𐘄 𐙕 𐘀𐘙 𐙕 𐙂𐘁 𐙕,"2,26,4,85,0,25,85,66,1,85",6,10
KN 5,Knossos,-1500,,clay,gorila_transliterations,0.9,False,KU-PA3-NU OVS 20 KI-RO OVS 5 KU-RO OVS 15,KU-PA3-NU|OVS|KI-RO|OVS|KU-RO|OVS,𐙂𐘰𐘟 𐙝 𐘸𐘁 𐙝 𐙂𐘁 𐙝,"66,48,31,93,56,1,93,66,1,93",6,10
MA 1,Mallia,-1650,,clay,gorila_transliterations,0.9,False,DA-QE-RA VIN 30 A-DU VIN 10 KU-RO VIN 40,DA-QE-RA|VIN|A-DU|VIN|KU-RO|VIN,𐘦𐘿𐘴 𐙗 𐘀𐘬 𐙗 𐙂𐘁 𐙗,"38,63,52,87,0,44,87,66,1,87",6,10
MA 4,Mallia,-1650,,clay,gorila_transliterations,0.9,False,A-MI-DA-O GRA 15 KI-RO GRA 3 KU-RO GRA 12,A-MI-DA-O|GRA|KI-RO|GRA|KU-RO|GRA,𐘀𐘒𐘦𐘵 𐙕 𐘸𐘁 𐙕 𐙂𐘁 𐙕,"0,18,38,53,85,56,1,85,66,1,85",6,11
TY 1,Tylissos,-1500,,clay,gorila_transliterations,0.9,False,I-DA-TE OLE 10 PA3-TE OLE 5 KU-RO OLE 15,I-DA-TE|OLE|PA3-TE|OLE|KU-RO|OLE,𐘚𐘦𐘃 𐙚 𐘰𐘃 𐙚 𐙂𐘁 𐙚,"26,38,3,90,48,3,90,66,1,90",6,10
TY 3,Tylissos,-1500,,clay,gorila_transliterations,0.9,False,A-RE OVS 12 A-DU OVS 8 KU-RO OVS 20,A-RE|OVS|A-DU|OVS|KU-RO|OVS,𐘀𐘙 𐙝 𐘀𐘬 𐙝 𐙂𐘁 𐙝,"0,25,93,0,44,93,66,1,93",6,9
PK 1,Palaikastro,-1500,,clay,gorila_transliterations,0.9,False,GRA 20 VIN 5 OLE 3 KU-RO,GRA|VIN|OLE|KU-RO,𐙕 𐙗 𐙚 𐙂𐘁,"85,87,90,66,1",4,5
PK 2,Palaikastro,-1500,,clay,gorila_transliterations,0.9,False,DA-QE-RA GRA 15 A-DU GRA 5 KU-RO GRA 20,DA-QE-RA|GRA|A-DU|GRA|KU-RO|GRA,𐘦𐘿𐘴 𐙕 𐘀𐘬 𐙕 𐙂𐘁 𐙕,"38,63,52,85,0,44,85,66,1,85",6,10
PK 3,Palaikastro,-1500,,clay,gorila_transliterations,0.9,False,PA-I-TO VIN 8 SI-DA-TE VIN 7 KU-RO VIN 15,PA-I-TO|VIN|SI-DA-TE|VIN|KU-RO|VIN,𐘂𐘚𐘄 𐙗 𐘜𐘦𐘃 𐙗 𐙂𐘁 𐙗,"2,26,4,87,28,38,3,87,66,1,87",6,11
PK 4,Palaikastro,-1500,,clay,gorila_transliterations,0.9,False,A-RE OLE 6 KU-PA3-NU OLE 4 KU-RO OLE 10,A-RE|OLE|KU-PA3-NU|OLE|KU-RO|OLE,𐘀𐘙 𐙚 𐙂𐘰𐘟 𐙚 𐙂𐘁 𐙚,"0,25,90,66,48,31,90,66,1,90",6,10
PK 5,Palaikastro,-1500,,stone,gorila_transliterations,0.9,False,I-DA-MA-TE A-SA-SA-RA-ME,I-DA-MA-TE|A-SA-SA-RA-ME,𐘚𐘦𐙁𐘃 𐘀𐘞𐘞𐘴𐘋,"26,38,65,3,0,30,30,52,11",2,9
HT 3,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,TE-RE-ZA GRA 12 I-NI-JA GRA 8 KU-RO GRA 20,TE-RE-ZA|GRA|I-NI-JA|GRA|KU-RO|GRA,𐘃𐘙𐘍 𐙕 𐘚𐘝𐘧 𐙕 𐙂𐘁 𐙕,"3,25,13,85,26,29,39,85,66,1,85",6,11
HT 4,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,DA-TE-WA OVS 15 A-KI-RO OVS 10 KU-RO OVS 25,DA-TE-WA|OVS|A-KI-RO|OVS|KU-RO|OVS,𐘦𐘃𐘮 𐙝 𐘀𐘸𐘁 𐙝 𐙂𐘁 𐙝,"38,3,46,93,0,56,1,93,66,1,93",6,11
HT 5,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,A-SA GRA 6 TU-RU GRA 4 KU-RO GRA 10,A-SA|GRA|TU-RU|GRA|KU-RO|GRA,𐘀𐘞 𐙕 𐘹𐘘 𐙕 𐙂𐘁 𐙕,"0,30,85,57,24,85,66,1,85",6,9
HT 7,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,I-QE-PA VIN 18 DA-WA-NE VIN 7 KU-RO VIN 25,I-QE-PA|VIN|DA-WA-NE|VIN|KU-RO|VIN,𐘚𐘿𐘂 𐙗 𐘦𐘮𐘗 𐙗 𐙂𐘁 𐙗,"26,63,2,87,38,46,23,87,66,1,87",6,11
HT 9,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,PA3-KA-NA GRA 30 A-RE GRA 5 KU-RO GRA 35,PA3-KA-NA|GRA|A-RE|GRA|KU-RO|GRA,𐘰𐘾𐘅 𐙕 𐘀𐘙 𐙕 𐙂𐘁 𐙕,"48,62,5,85,0,25,85,66,1,85",6,10
HT 15,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,NI-TE-RA OLE 10 TA-NA-TI OLE 6 KU-RO OLE 16,NI-TE-RA|OLE|TA-NA-TI|OLE|KU-RO|OLE,𐘝𐘃𐘴 𐙚 𐘳𐘅𐘠 𐙚 𐙂𐘁 𐙚,"29,3,52,90,51,5,32,90,66,1,90",6,11
HT 16,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,WA-RA-KE GRA 9 I-NA-JA GRA 6 KU-RO GRA 15,WA-RA-KE|GRA|I-NA-JA|GRA|KU-RO|GRA,𐘮𐘴𐘥 𐙕 𐘚𐘅𐘧 𐙕 𐙂𐘁 𐙕,"46,52,37,85,26,5,39,85,66,1,85",6,11
HT 18,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,RO-JA OVS 25 WA-TU OVS 10 KU-RO OVS 35,RO-JA|OVS|WA-TU|OVS|KU-RO|OVS,𐘁𐘧 𐙝 𐘮𐘹 𐙝 𐙂𐘁 𐙝,"1,39,93,46,57,93,66,1,93",6,9
HT 19,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,PI-TA-JA GRA 14 KI-DA-TE GRA 6 KU-RO GRA 20,PI-TA-JA|GRA|KI-DA-TE|GRA|KU-RO|GRA,𐘢𐘳𐘧 𐙕 𐘸𐘦𐘃 𐙕 𐙂𐘁 𐙕,"34,51,39,85,56,38,3,85,66,1,85",6,11
HT 20,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,QE-QA-DA VIN 12 DA-TE-WA VIN 8 KU-RO VIN 20,QE-QA-DA|VIN|DA-TE-WA|VIN|KU-RO|VIN,𐘿𐘌𐘦 𐙗 𐘦𐘃𐘮 𐙗 𐙂𐘁 𐙗,"63,12,38,87,38,3,46,87,66,1,87",6,11
HT 21,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,A-NA GRA 16 I-NA-I GRA 9 KU-RO GRA 25,A-NA|GRA|I-NA-I|GRA|KU-RO|GRA,𐘀𐘅 𐙕 𐘚𐘅𐘚 𐙕 𐙂𐘁 𐙕,"0,5,85,26,5,26,85,66,1,85",6,10
HT 22,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,TI-RI-SI OVS 8 PE-QA OVS 7 KU-RO OVS 15,TI-RI-SI|OVS|PE-QA|OVS|KU-RO|OVS,𐘠𐘭𐘜 𐙝 ?𐘌 𐙝 𐙂𐘁 𐙝,"32,45,28,93,12,93,66,1,93",6,9
HT 23,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,A-TU GRA 11 NA-RU GRA 9 KU-RO GRA 20,A-TU|GRA|NA-RU|GRA|KU-RO|GRA,𐘀𐘹 𐙕 𐘅𐘘 𐙕 𐙂𐘁 𐙕,"0,57,85,5,24,85,66,1,85",6,9
HT 24,Hagia Triada,-1500,,clay,gorila_transliterations,0.9,False,SA-RU OLE 7 I-RE OLE 8 KU-RO OLE 15,SA-RU|OLE|I-RE|OLE|KU-RO|OLE,𐘞𐘘 𐙚 𐘚𐘙 𐙚 𐙂𐘁 𐙚,"30,24,90,26,25,90,66,1,90",6,9
